7.62372224187789E+017,#NadieMenos  Comprensión y Respeto para vivir en Paz http://fb.me/2s9HwwIR4 ,90506947,90506947,Maite Castillo,1470598677000,0,0,
7.62348361588572E+017,La marcha debe ser #NadieMenos y #NoAlAborto,83974268,83974268,CarlosWaiteBrignole,1470592987000,7,8,
7.62118539021054E+017,#nadiemenos pic.twitter.com/5CgIJsLBsR,70723135,70723135,YVAN GARCES,1470538193000,0,0,
7.62076679627997E+017,"#NadieMenos
#CosaDeTodosLosDías http://fb.me/7tS9bVZvV ",3191099194,3191099194,Gonzalo Huasaca,1470528213000,0,0,
7.62778208718709E+017,Por un #Perú ideal #NadieMenos...,1362626856,1362626856,Walter Llamosas,1470695471000,0,0,
7.62762143972327E+017,"bien dicho #NadieMenos #NadieMenos #NadieMenos todos somos valiosos, nadie descartable",2529831358,2529831358,anto.mosca,1470691641000,0,0,
7.62761311163937E+017,#NadieMenos pic.twitter.com/YojzPwVBH6,51164459,51164459,Miklos Lukacs,1470691442000,10,12,
7.62758720526938E+017,Debería ser #NadieMenos http://fb.me/4RhEEfQan ,98743204,98743204,carol,1470690825000,0,0,
7.62752773620396E+017,#NadieMenos pic.twitter.com/YLHkrFNxFV,83974268,83974268,CarlosWaiteBrignole,1470689407000,11,11,
7.62741228521816E+017,"#NadieMenos | Rechazamos toda violencia contra mujeres, hombres y niños, desde el vientre materno. pic.twitter.com/w66FXsSmDo",136745940,136745940,mmmperu,1470686654000,0,4,
7.62734262311354E+017,"""Curioso"" que muchos que repiten la cantaleta #NadieMenos,son los mismos que repiten ""Ella se expuso"",cuando hay violencia contra la mujer.",637108769,637108769,CROGMIE,1470684993000,1,2,
7.62694871417131E+017,#NadieMenos: Siguen saliendo pruebas de que #NiUnaMenos está profundamente infiltrada por el lobby gay y el lobby... http://fb.me/83hu5v5tT ,2216236045,2216236045,Parejas Reales,1470675602000,4,2,
7.62651802793763E+017,#nadiemenos http://fb.me/1fNed8ZYV ,1389516252,1389516252,SagradoCorazonB,1470665333000,0,0,
7.62558429651202E+017,"Leí #nadiemenos en el post de fb de un fuckboy ""igualitarista"" pero ahora veo el hashtag y es provida?",615678173,615678173,Samantha Yamashiro E,1470643071000,0,0,
7.62557910522159E+017,No entiendo... Ya hay una marcha que busca proteger a los no nacidos que es #marchaporlavida porque quieren crear #nadiemenos ??,615678173,615678173,Samantha Yamashiro E,1470642948000,0,1,
7.62556593393238E+017,Cuando estás feliz con #NiUnaMenos pero entras a fb y te das cuenta que un idiota se quiere hacer un #alllivesmatters y crea #nadiemenos ,615678173,615678173,Samantha Yamashiro E,1470642634000,0,0,
7.62485572501852E+017,"Ni un muerto más, no más violencia, no más inseguridad. Unámonos todos por todos.  #NadieMenos pic.twitter.com/rQBwQ56CxU",242416004,242416004,Lucero Sobrino.,1470625701000,0,1,
7.62468355559166E+017,Rechazemos TODA violencia que dañe a otro ser humano #NiUnaMenos #nadiemenos pic.twitter.com/8pVVZvZndD,227399110,227399110,Luis Vera,1470621596000,0,0,
7.63143898625696E+017,#nadiemenos que es esto que estan haciendo tontos,4794599121,4794599121,karlitos,1470782658000,0,4,
