b'767175635152154626',"b'@mirthalegrand #RosarioSangra Nadie nos escucha. 3 muertos en 72hs. jueves 25,19hs en Tribunales.#Justicia!!!!'",b'75789616',b'75789616',b'Lu  Bachmann\xe2\x98\x86',b'1471743899000.0',b'1',b'0',,,
b'767174376596746241',"b'#RosarioSangra Nadie nos escucha!! 3 muertos en 72hs!!Jueves 25,19hs en Tribunales.#Justicia'",b'75789616',b'75789616',b'Lu  Bachmann\xe2\x98\x86',b'1471743599000.0',b'0',b'0',,,
b'767174129279651842',"b'@mirthalegrand #RosarioSangra Nadie nos escucha. 3 muertos en 72hs. jueves 25,19hs en Tribunales.#Justicia'",b'75789616',b'75789616',b'Lu  Bachmann\xe2\x98\x86',b'1471743540000.0',b'0',b'0',,,
b'767873956414095361',b'Nos unimos a la convocatoria #RosarioSangra el 25/ 08 19 : 30 hs en #Tribunales @emergenciasAR @RosSolidariapic.twitter.com/hCyJQAnvrb',b'760493700866777088',b'760493700866777088',b'SolidariosdeCoraz\xc3\xb3n',b'1471910392000.0',b'13',b'11',,,
b'767837232409575424',b'@@emergenciasAR #RosarioSangra https://youtu.be/4I6Zia5n2f4\xc2\xa0 v\xc3\xada @YouTube',b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471901636000.0',b'0',b'0',,,
b'767832516065722368',b'Que nuestro grito de dolor se escuche en todo el Pa\xc3\xads #RosarioSangra https://www.youtube.com/watch?v=4I6Zia5n2f4&feature=youtu.be\xc2\xa0\xe2\x80\xa6',b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471900512000.0',b'7',b'6',,,
b'767829616245501953',b'#RosarioSangra @mauriciomacri @CANOBoficial @GloriosoNewells @pablo_granados @BombitaDarin @gimassoud @lacapitalpic.twitter.com/Wy3dARRIrk',b'154169061',b'154169061',b'Belen R',b'1471899820000.0',b'5',b'4',,,
b'767827818931691521',b'#RosarioSangra',b'565404730',b'565404730',b'Julian Ponce',b'1471899392000.0',b'0',b'2',,,
b'767814735626637312',b'Necesitamos que todo el pa\xc3\xads nos apoye #RosarioSangra pic.twitter.com/0jiMDcJUxa',b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471896272000.0',b'12',b'10',,,
b'767787558709395456',"b'@leodelga2 @emergenciasAR #RosarioSangra y los pol\xc3\xadticos de Santa Fe r\xc3\xaden, hasta cuando, caras de piedra'",b'140822223',b'140822223',b'MIRIAM Rosarina',b'1471889793000.0',b'1',b'1',,,
